url,name,has_profile_pic,followers,following,friends,has_profile_details,Fake/Real/Suspicious
https://www.facebook.com/profile.php?id=100063585968004,මැටි වළඳ.The Clay Pot,Yes,8800,6600,0,Yes,Real
https://www.facebook.com/profile.php?id=100063453916401,ZEG,Yes,5100,9,0,Yes,Suspicious
https://www.facebook.com/profile.php?id=61588195559952,Pathum Fernando,Yes,15,0,0,Yes,Suspicious
https://www.facebook.com/profile.php?id=61576845778166,Anju,Yes,6200,5900,0,Yes,Real
https://www.facebook.com/Udaraarts.22,"Udara Arts 
(Professional CV Designer)",Yes,4000,1000,0,Yes,Real
https://www.facebook.com/sixsevenzy,Six Seven Zy,Yes,3,9,0,No,Fake
https://www.facebook.com/chamalimahagedara69,චාමලි මහගෙදර,Yes,37000,9600,0,No,Real
https://www.facebook.com/profile.php?id=61552270471217,තෑගි,Yes,15000,71,0,Yes,Suspicious
https://www.facebook.com/profile.php?id=100085635714330,"Dooge 
(Clothing)",Yes,11000,1600,0,Yes,Real
https://www.facebook.com/profile.php?id=100068345361614,You are not mine,Yes,8000,81,0,Yes,Real
https://www.facebook.com/profile.php?id=61556714662842,"Neo Arts & Craft 
(Neo craft soap)",Yes,28000,9500,0,No,Real
https://www.facebook.com/Bawaketh,ThrendyMix Fashion,Yes,32000,9500,0,Yes,Real
https://www.facebook.com/profile.php?id=61586753061199,Kam,Yes,315,1500,0,Yes,Suspicious
https://www.facebook.com/profile.php?id=61585220574765,Malith & Shelo,Yes,11,16,0,Yes,Fake
https://www.facebook.com/profile.php?id=61585576470151,Dila official,Yes,484,428,0,Yes,Real
https://www.facebook.com/profile.php?id=61586007598163,"Chinthaka Dush  
(කිරා)",Yes,168,407,0,Yes,Real
https://www.facebook.com/profile.php?id=61585838908882,කලබලේ.kalabale,Yes,28000,5000,0,Yes,Real
https://www.facebook.com/profile.php?id=61585165349657,WM Fashion,Yes,302,336,0,Yes,Suspicious
https://www.facebook.com/profile.php?id=61577011456440,Reyo Fashion,Yes,12000,5700,0,Yes,Real
https://www.facebook.com/profile.php?id=61584655967774,Us craft,Yes,736,2000,0,Yes,Real
https://www.facebook.com/profile.php?id=61583943542937,𝓓𝓪𝓷𝓾 𝓣𝓻𝓪𝓿𝓮𝓵𝓼 & 𝓣𝓸𝓾𝓻𝓼,Yes,2800,7000,0,Yes,Real
https://www.facebook.com/profile.php?id=100054429942042,Daily needs family restaurant,Yes,453,1400,0,Yes,Real
https://www.facebook.com/profile.php?id=61584554794276,සිහින මන්දාරම,Yes,18000,0,0,Yes,Suspicious
https://www.facebook.com/profile.php?id=100089527993097,palinda senaweera,Yes,28000,9600,0,Yes,Real
https://www.facebook.com/profile.php?id=61584038775118,Art by Thenu,Yes,4100,9500,0,Yes,Real
https://www.facebook.com/profile.php?id=61585131294482,K.Lanka Computers - Negombo,Yes,7300,0,0,Yes,Suspicious
https://www.facebook.com/profile.php?id=61583236601872,prabath paint construction,Yes,811,1800,0,Yes,Real
https://www.facebook.com/profile.php?id=61582646015167,channel mix,Yes,11000,4100,0,Yes,Real
https://www.facebook.com/profile.php?id=61550827617958,ව්දේශ රැකියා ඇබෑර්තු,Yes,2200,1600,0,Yes,Real
