url,name,has_profile_pic,followers,following,friends,has_profile_details,Fake/Real/Suspicious
https://www.facebook.com/profile.php?id=61571739625991,Sobha Bathik,Yes,7800,9600,0,Yes,Real
https://www.facebook.com/profile.php?id=61587888896569,manoj lakmal,Yes,506,442,0,Yes,Real
https://www.facebook.com/profile.php?id=61583841148070,Nature srilanka,Yes,26,32,0,Yes,Suspicious
https://www.facebook.com/profile.php?id=61585044519982,Sandhuni Nethma,Yes,0,30,0,Yes,Fake
https://www.facebook.com/profile.php?id=61581949516705,KY Travel & Cooking,Yes,1600,2500,0,Yes,Real
https://www.facebook.com/profile.php?id=61584956736148,Naturewave,Yes,267,545,0,Yes,Suspicious
https://www.facebook.com/profile.php?id=61587476390442,I love Sri Lanka,Yes,8,148,0,Yes,Fake
https://www.facebook.com/profile.php?id=61563151753586,Cinema Shorts LK,Yes,1600,23,0,Yes,Suspicious
https://www.facebook.com/profile.php?id=100076161494587,LILY & LARA,Yes,1700,3000,0,Yes,Real
https://www.facebook.com/profile.php?id=61564977699312,SI Samarakoon,Yes,9,43,0,Yes,Fake
https://www.facebook.com/profile.php?id=100070858990973,Meratt & Merina,Yes,1300,120,0,Yes,Real
https://www.facebook.com/profile.php?id=61586858725081,AureliaGrace,Yes,276,625,0,Yes,Suspicious
https://www.facebook.com/profile.php?id=61580987602206,SL Maleesha cartoon,Yes,49,21,0,Yes,Suspicious
https://www.facebook.com/profile.php?id=61585415116500,Power Welding Engineering,Yes,1400,2500,0,Yes,Real
https://www.facebook.com/profile.php?id=61583707851818,Liora Fashion Glamour,Yes,4,19,0,Yes,Fake
https://www.facebook.com/maheshdeshapriya5422,Fur Real Funnies,Yes,5100,9700,0,Yes,Real
